0	65536
0	1
1	65537
1	2
2	65538
2	3
3	65539
3	4
4	65540
4	5
5	65541
5	6
6	65542
6	7
7	65543
7	8
8	65544
8	9
9	65545
9	10
10	65546
10	11
11	65547
11	12
12	65548
12	13
13	65549
13	14
14	65550
14	15
15	65551
15	16
16	65552
16	17
17	65553
17	18
18	65554
18	19
19	65555
19	20
20	65556
20	21
21	65557
21	22
22	65558
22	23
23	65559
23	24
24	65560
24	25
25	65561
25	26
26	65562
26	27
27	65563
27	28
28	65564
28	29
29	65565
29	30
30	65566
30	31
31	65567
31	32
32	65568
32	33
33	65569
33	34
34	65570
34	35
35	65571
35	36
36	65572
36	37
37	65573
37	38
38	65574
38	39
39	65575
39	40
40	65576
40	41
41	65577
41	42
42	65578
42	43
43	65579
43	44
44	65580
44	45
45	65581
45	46
46	65582
46	47
47	65583
47	48
48	65584
48	49
49	65585
49	50
50	65586
50	51
51	65587
51	52
52	65588
52	53
53	65589
53	54
54	65590
54	55
55	65591
55	56
56	65592
56	57
57	65593
57	58
58	65594
58	59
59	65595
59	60
60	65596
60	61
61	65597
61	62
62	65598
62	63
63	65599
63	64
64	65600
64	65
65	65601
65	66
66	65602
66	67
67	65603
67	68
68	65604
68	69
69	65605
69	70
70	65606
70	71
71	65607
71	72
72	65608
72	73
73	65609
73	74
74	65610
74	75
75	65611
75	76
76	65612
76	77
77	65613
77	78
78	65614
78	79
79	65615
79	80
80	65616
80	81
81	65617
81	82
82	65618
82	83
83	65619
83	84
84	65620
84	85
85	65621
85	86
86	65622
86	87
87	65623
87	88
88	65624
88	89
89	65625
89	90
90	65626
90	91
91	65627
91	92
92	65628
92	93
93	65629
93	94
94	65630
94	95
95	65631
95	96
96	65632
96	97
97	65633
97	98
98	65634
98	99
99	65635
99	100
100	65636
100	101
101	65637
101	102
102	65638
102	103
103	65639
103	104
104	65640
104	105
105	65641
105	106
106	65642
106	107
107	65643
107	108
108	65644
108	109
109	65645
109	110
110	65646
110	111
111	65647
111	112
112	65648
112	113
113	65649
113	114
114	65650
114	115
115	65651
115	116
116	65652
116	117
117	65653
117	118
118	65654
118	119
119	65655
119	120
120	65656
120	121
121	65657
121	122
122	65658
122	123
123	65659
123	124
124	65660
124	125
125	65661
125	126
126	65662
126	127
127	65663
127	128
128	65664
128	129
129	65665
129	130
130	65666
130	131
131	65667
131	132
132	65668
132	133
133	65669
133	134
134	65670
134	135
135	65671
135	136
136	65672
136	137
137	65673
137	138
138	65674
138	139
139	65675
139	140
140	65676
140	141
141	65677
141	142
142	65678
142	143
143	65679
143	144
144	65680
144	145
145	65681
145	146
146	65682
146	147
147	65683
147	148
148	65684
148	149
149	65685
149	150
150	65686
150	151
151	65687
151	152
152	65688
152	153
153	65689
153	154
154	65690
154	155
155	65691
155	156
156	65692
156	157
157	65693
157	158
158	65694
158	159
159	65695
159	160
160	65696
160	161
161	65697
161	162
162	65698
162	163
163	65699
163	164
164	65700
164	165
165	65701
165	166
166	65702
166	167
167	65703
167	168
168	65704
168	169
169	65705
169	170
170	65706
170	171
171	65707
171	172
172	65708
172	173
173	65709
173	174
174	65710
174	175
175	65711
175	176
176	65712
176	177
177	65713
177	178
178	65714
178	179
179	65715
179	180
180	65716
180	181
181	65717
181	182
182	65718
182	183
183	65719
183	184
184	65720
184	185
185	65721
185	186
186	65722
186	187
187	65723
187	188
188	65724
188	189
189	65725
189	190
190	65726
190	191
191	65727
191	192
192	65728
192	193
193	65729
193	194
194	65730
194	195
195	65731
195	196
196	65732
196	197
197	65733
197	198
198	65734
198	199
199	65735
65536	131072
65536	65537
65537	131073
65537	65538
65538	131074
65538	65539
65539	131075
65539	65540
65540	131076
65540	65541
65541	131077
65541	65542
65542	131078
65542	65543
65543	131079
65543	65544
65544	131080
65544	65545
65545	131081
65545	65546
65546	131082
65546	65547
65547	131083
65547	65548
65548	131084
65548	65549
65549	131085
65549	65550
65550	131086
65550	65551
65551	131087
65551	65552
65552	131088
65552	65553
65553	131089
65553	65554
65554	131090
65554	65555
65555	131091
65555	65556
65556	131092
65556	65557
65557	131093
65557	65558
65558	131094
65558	65559
65559	131095
65559	65560
65560	131096
65560	65561
65561	131097
65561	65562
65562	131098
65562	65563
65563	131099
65563	65564
65564	131100
65564	65565
65565	131101
65565	65566
65566	131102
65566	65567
65567	131103
65567	65568
65568	131104
65568	65569
65569	131105
65569	65570
65570	131106
65570	65571
65571	131107
65571	65572
65572	131108
65572	65573
65573	131109
65573	65574
65574	131110
65574	65575
65575	131111
65575	65576
65576	131112
65576	65577
65577	131113
65577	65578
65578	131114
65578	65579
65579	131115
65579	65580
65580	131116
65580	65581
65581	131117
65581	65582
65582	131118
65582	65583
65583	131119
65583	65584
65584	131120
65584	65585
65585	131121
65585	65586
65586	131122
65586	65587
65587	131123
65587	65588
65588	131124
65588	65589
65589	131125
65589	65590
65590	131126
65590	65591
65591	131127
65591	65592
65592	131128
