0	0.125	0.125	0.5	0.125	0.125
1	0.5	0.125	0.125	0.125	0.125
2	0.125	0.5	0.125	0.125	0.125
3	0.125	0.125	0.125	0.125	0.5
4	0.125	0.125	0.5	0.125	0.125
5	0.125	0.125	0.5	0.125	0.125
6	0.125	0.125	0.125	0.125	0.5
7	0.125	0.125	0.5	0.125	0.125
8	0.125	0.125	0.5	0.125	0.125
9	0.125	0.125	0.5	0.125	0.125
10	0.125	0.125	0.125	0.5	0.125
11	0.125	0.125	0.125	0.125	0.5
12	0.125	0.125	0.5	0.125	0.125
13	0.125	0.125	0.125	0.125	0.5
14	0.125	0.125	0.125	0.125	0.5
15	0.125	0.125	0.125	0.125	0.5
16	0.125	0.125	0.125	0.125	0.5
17	0.5	0.125	0.125	0.125	0.125
18	0.125	0.125	0.125	0.125	0.5
19	0.125	0.125	0.125	0.125	0.5
20	0.125	0.125	0.5	0.125	0.125
21	0.125	0.125	0.125	0.125	0.5
22	0.125	0.125	0.125	0.125	0.5
23	0.125	0.125	0.125	0.5	0.125
24	0.125	0.125	0.125	0.125	0.5
25	0.125	0.5	0.125	0.125	0.125
26	0.125	0.125	0.125	0.5	0.125
27	0.5	0.125	0.125	0.125	0.125
28	0.125	0.125	0.125	0.5	0.125
29	0.125	0.125	0.125	0.125	0.5
30	0.125	0.125	0.125	0.5	0.125
31	0.125	0.125	0.125	0.5	0.125
32	0.125	0.125	0.125	0.125	0.5
33	0.125	0.125	0.125	0.5	0.125
34	0.125	0.125	0.125	0.5	0.125
35	0.125	0.125	0.5	0.125	0.125
36	0.5	0.125	0.125	0.125	0.125
37	0.125	0.5	0.125	0.125	0.125
38	0.125	0.125	0.125	0.125	0.5
39	0.125	0.125	0.125	0.5	0.125
40	0.125	0.125	0.5	0.125	0.125
41	0.125	0.125	0.125	0.125	0.5
42	0.125	0.125	0.125	0.5	0.125
43	0.125	0.5	0.125	0.125	0.125
44	0.5	0.125	0.125	0.125	0.125
45	0.125	0.125	0.125	0.5	0.125
46	0.125	0.5	0.125	0.125	0.125
47	0.125	0.125	0.125	0.125	0.5
48	0.125	0.125	0.125	0.125	0.5
49	0.125	0.125	0.125	0.125	0.5
50	0.125	0.125	0.125	0.125	0.5
51	0.125	0.125	0.125	0.125	0.5
52	0.125	0.125	0.125	0.125	0.5
53	0.125	0.125	0.125	0.125	0.5
54	0.125	0.125	0.125	0.5	0.125
55	0.125	0.125	0.5	0.125	0.125
56	0.125	0.125	0.125	0.125	0.5
57	0.125	0.125	0.125	0.125	0.5
58	0.125	0.125	0.125	0.125	0.5
59	0.125	0.5	0.125	0.125	0.125
60	0.5	0.125	0.125	0.125	0.125
61	0.125	0.125	0.125	0.5	0.125
62	0.125	0.125	0.125	0.125	0.5
63	0.125	0.125	0.125	0.125	0.5
64	0.125	0.125	0.5	0.125	0.125
65	0.125	0.125	0.125	0.125	0.5
66	0.125	0.125	0.125	0.125	0.5
67	0.125	0.125	0.125	0.125	0.5
68	0.125	0.125	0.125	0.125	0.5
69	0.125	0.5	0.125	0.125	0.125
70	0.125	0.125	0.125	0.125	0.5
71	0.5	0.125	0.125	0.125	0.125
72	0.125	0.125	0.125	0.125	0.5
73	0.125	0.125	0.125	0.5	0.125
74	0.125	0.125	0.125	0.125	0.5
75	0.125	0.125	0.5	0.125	0.125
76	0.125	0.5	0.125	0.125	0.125
77	0.125	0.125	0.125	0.5	0.125
78	0.125	0.125	0.125	0.125	0.5
79	0.5	0.125	0.125	0.125	0.125
80	0.125	0.5	0.125	0.125	0.125
81	0.5	0.125	0.125	0.125	0.125
82	0.125	0.125	0.125	0.5	0.125
83	0.125	0.125	0.125	0.125	0.5
84	0.5	0.125	0.125	0.125	0.125
85	0.125	0.125	0.125	0.125	0.5
86	0.125	0.125	0.125	0.125	0.5
87	0.125	0.125	0.125	0.125	0.5
88	0.125	0.5	0.125	0.125	0.125
89	0.125	0.125	0.125	0.125	0.5
90	0.125	0.125	0.5	0.125	0.125
91	0.125	0.125	0.125	0.125	0.5
92	0.125	0.125	0.125	0.125	0.5
93	0.125	0.125	0.125	0.5	0.125
94	0.125	0.5	0.125	0.125	0.125
95	0.125	0.5	0.125	0.125	0.125
96	0.125	0.125	0.125	0.125	0.5
97	0.125	0.125	0.125	0.125	0.5
98	0.125	0.125	0.5	0.125	0.125
99	0.125	0.125	0.125	0.125	0.5
